AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE
2021;6;7;17;1;0,000109002526;0,000143860752;0,000257788573
2021;6;7;18;1;0,000109578355;0,000145244158;0,000256926645
2021;6;7;19;1;0,000110659479;0,000140059638;0,000229203794
2021;6;7;20;1;0,000113303618;0,000132711387;0,000227597064
2021;6;7;21;1;0,000121441853;0,000123464370;0,000221598105
2021;6;7;22;1;0,000134892478;0,000117482188;0,000256030179
2021;6;7;23;1;0,000137139269;0,000115408962;0,000169906446
2021;6;7;24;1;0,000115852903;0,000105191788;0,000118554153
2021;6;8;1;1;0,000094546541;0,000099339512;0,000090030393
2021;6;8;2;1;0,000078802647;0,000094115342;0,000065316772
2021;6;8;3;1;0,000070074806;0,000091070931;0,000050681902
2021;6;8;4;1;0,000065948171;0,000089645286;0,000033157060
2021;6;8;5;1;0,000064081352;0,000089607175;0,000032560033
2021;6;8;6;1;0,000064496314;0,000091833587;0,000028292061
2021;6;8;7;1;0,000067722098;0,000095212846;0,000027302687
2021;6;8;8;1;0,000078173546;0,000105747536;0,000054130624
2021;6;8;9;1;0,000092468842;0,000137159681;0,000106470698
2021;6;8;10;1;0,000101117945;0,000158308515;0,000181819437
2021;6;8;11;1;0,000107752629;0,000168986590;0,000261658904
2021;6;8;12;1;0,000110758738;0,000173965389;0,000239849077
2021;6;8;13;1;0,000116212282;0,000177628267;0,000241388163
2021;6;8;14;1;0,000125751209;0,000171435819;0,000245674742
2021;6;8;15;1;0,000126166377;0,000155871275;0,000247066033
2021;6;8;16;1;0,000115774247;0,000149012782;0,000273850375
2021;6;8;17;1;0,000110790952;0,000148861755;0,000271016225
2021;6;8;18;1;0,000111428648;0,000149468899;0,000255113935
2021;6;8;19;1;0,000112584362;0,000144990161;0,000264783859
2021;6;8;20;1;0,000114570548;0,000137929001;0,000244713545
2021;6;8;21;1;0,000121698736;0,000128586387;0,000258990092
2021;6;8;22;1;0,000134129975;0,000122263787;0,000224978693
2021;6;8;23;1;0,000136970672;0,000119954673;0,000177462150
2021;6;8;24;1;0,000116855575;0,000109014152;0,000126523999
2021;6;9;1;1;0,000095896274;0,000100943118;0,000091291208
2021;6;9;2;1;0,000080079055;0,000095711987;0,000066231490
2021;6;9;3;1;0,000071194066;0,000092606677;0,000051391668
2021;6;9;4;1;0,000066843368;0,000091065141;0,000033621403
2021;6;9;5;1;0,000064935780;0,000091017149;0,000033016015
2021;6;9;6;1;0,000065414318;0,000093313526;0,000028688273
2021;6;9;7;1;0,000068508759;0,000096641380;0,000027685043
2021;6;9;8;1;0,000078919343;0,000107240571;0,000054888687
2021;6;9;9;1;0,000093193953;0,000138996919;0,000107961748
2021;6;9;10;1;0,000102100726;0,000160556221;0,000184365696
2021;6;9;11;1;0,000108976791;0,000171503740;0,000265323261
2021;6;9;12;1;0,000112159566;0,000176651598;0,000243208003
2021;6;9;13;1;0,000117545829;0,000180282684;0,000244768642
2021;6;9;14;1;0,000127276831;0,000174045567;0,000249115252
2021;6;9;15;1;0,000127696687;0,000158243946;0,000250526027
2021;6;9;16;1;0,000117293996;0,000151344510;0,000277685466
2021;6;9;17;1;0,000112150756;0,000151136889;0,000274811625
2021;6;9;18;1;0,000112850465;0,000151784366;0,000258686635
2021;6;9;19;1;0,000113688670;0,000147053637;0,000268491979
2021;6;9;20;1;0,000115873525;0,000139984025;0,000248140594
2021;6;9;21;1;0,000122967293;0,000130450172;0,000262617075
2021;6;9;22;1;0,000135559680;0,000124048223;0,000228129369
2021;6;9;23;1;0,000138631347;0,000121780393;0,000179947388
2021;6;9;24;1;0,000118167278;0,000110631382;0,000128295883
2021;6;10;1;1;0,000096764287;0,000102199470;0,000092392298
2021;6;10;2;1;0,000080576225;0,000096786450;0,000067030327
2021;6;10;3;1;0,000071846864;0,000093764094;0,000052011518
2021;6;10;4;1;0,000067551870;0,000092258989;0,000034026920
2021;6;10;5;1;0,000065667917;0,000092236561;0,000033414230
2021;6;10;6;1;0,000066042806;0,000094497467;0,000029034290
2021;6;10;7;1;0,000069340243;0,000097971302;0,000028018960
2021;6;10;8;1;0,000079804514;0,000108674547;0,000055550715
2021;6;10;9;1;0,000094180029;0,000140817976;0,000109263906
2021;6;10;10;1;0,000103177868;0,000162657580;0,000186589384
2021;6;10;11;1;0,000109880819;0,000173584581;0,000268523401
2021;6;10;12;1;0,000113061745;0,000178775994;0,000246141404
2021;6;10;13;1;0,000118563691;0,000182497593;0,000247720867
2021;6;10;14;1;0,000128306716;0,000176141449;0,000252119902
2021;6;10;15;1;0,000129216131;0,000160406361;0,000253547693
2021;6;10;16;1;0,000118924020;0,000153541731;0,000281034710
2021;6;10;17;1;0,000113711101;0,000153332037;0,000278126207
2021;6;10;18;1;0,000114493013;0,000154030688;0,000261806728
2021;6;10;19;1;0,000115223606;0,000149163176;0,000271730338
2021;6;10;20;1;0,000117270204;0,000141905900;0,000251133488
2021;6;10;21;1;0,000124107352;0,000132086524;0,000265784574
2021;6;10;22;1;0,000136735271;0,000125572633;0,000230880902
2021;6;10;23;1;0,000139702333;0,000123226939;0,000182117785
2021;6;10;24;1;0,000119143049;0,000111970974;0,000129843296
2021;6;11;1;1;0,000097451988;0,000103453473;0,000108868744
2021;6;11;2;1;0,000081769759;0,000097145295;0,000067631635
2021;6;11;3;1;0,000072098098;0,000093816927;0,000051702973
2021;6;11;4;1;0,000067434848;0,000091960347;0,000030979513
